member_id,group_id,first_name,last_name,dob,gender,ssn_last4,state,email,enrollment_date,term_date,line_of_business
MBR300069,GRP1001,Jane,Murphy,1960-07-16,F,8165,MD,mbr300069@example.com,2024-04-15,2025-01-19,CSF
MBR300070,GRP1007,Maria,Murphy,1999-06-16,F,6284,DE,mbr300070@example.com,2024-09-15,,FEP
MBR300071,GRP1009,Sam,Singh,1980-06-29,U,4377,PA,mbr300071@example.com,2022-10-07,,TPA
MBR300072,GRP1005,Omar,Cohen,1993-06-14,M,5446,OH,mbr300072@example.com,2024-09-29,,TPA
MBR300073,GRP1007,Maria,Lopez,2001-04-19,F,3826,FL,,2024-07-21,,FEP
MBR300074,GRP1012,Wei,Singh,1963-08-25,F,0606,NY,mbr300074@example.com,2024-08-26,,CSF
MBR300075,GRP1010,Omar,Roe,1997-03-09,F,0251,NY,mbr300075@example.com,2023-11-11,,CSF
MBR300076,GRP1011,Sam,Chen,2005-11-30,F,1315,CA,mbr300076@example.com,2022-11-13,2025-11-09,TPA
MBR300077,GRP1007,Omar,Cohen,1953-03-22,U,1121,DE,mbr300077@example.com,2023-10-11,,FEP
MBR300078,GRP1015,Jane,Singh,1958-10-31,M,7269,NY,mbr300078@example.com,2023-08-12,,CFI
MBR300079,GRP1015,John,Ahmed,1982-02-28,M,7056,NY,mbr300079@example.com,2022-03-01,2024-06-21,CFI
MBR300080,GRP1010,Jane,Diaz,1984-04-27,U,3945,TX,mbr300080@example.com,2023-01-04,2023-10-24,CSF
MBR300001,GRP1005,Lucy,Murphy,1963-11-21,F,4861,DE,mbr300001@example.com,2024-05-16,,TPA
